id,Station_ID,Station Name,SampleDate,SampleTime,parameter,qualifier,Result,unit,method,type,County,Description,Status,Beach Name,Latitude,Longitude,CreateDate
5863,IB-079,IB-079,2026-09-05,08:02:00,Enterococcus,=,845,Copies/100ml,ddPCR,,San Diego,Avenida Lunar,,Coronado City Beaches,32.674066,-117.172300,2026-09-05
5862,IB-068,IB-068,2026-09-05,07:48:00,Enterococcus,=,1753,Copies/100ml,ddPCR,,San Diego,Silver Strand - Guard Shack,,Silver Strand State Beach,32.626401,-117.139424,2026-09-05
5861,IB-060,IB-060,2026-09-05,07:26:00,Enterococcus,=,2429,Copies/100ml,ddPCR,,San Diego,Carnation Ave.,,Imperial Beach Municipal Beach,32.585679,-117.133049,2026-09-05
5860,EH-030,EH-030,2026-09-05,07:16:00,Enterococcus,=,3559,Copies/100ml,ddPCR,,San Diego,Imperial Beach Pier,,Imperial Beach Municipal Beach,32.578750,-117.133186,2026-09-05
5859,EH-010,EH-010,2026-09-05,07:06:00,Enterococcus,=,7035,Copies/100ml,ddPCR,,San Diego,Cortez Ave,,Imperial Beach Municipal Beach,32.572665,-117.133201,2026-09-05
5858,IB-050,IB-050,2026-09-05,06:55:00,Enterococcus,=,4527,Copies/100ml,ddPCR,,San Diego,End of Seacoast Dr,,Imperial Beach Municipal Beach,32.566577,-117.133205,2026-09-05
5850,IB-050,IB-050,2026-09-04,08:01:00,Enterococcus,=,2209,Copies/100ml,ddPCR,,San Diego,End of Seacoast Dr,,Imperial Beach Municipal Beach,32.566577,-117.133205,2026-09-04
5851,EH-010,EH-010,2026-09-04,07:51:00,Enterococcus,=,1501,Copies/100ml,ddPCR,,San Diego,Cortez Ave,,Imperial Beach Municipal Beach,32.572665,-117.133201,2026-09-04
5852,EH-030,EH-030,2026-09-04,07:41:00,Enterococcus,=,1965,Copies/100ml,ddPCR,,San Diego,Imperial Beach Pier,,Imperial Beach Municipal Beach,32.578750,-117.133186,2026-09-04
5853,IB-060,IB-060,2026-09-04,07:30:00,Enterococcus,=,2435,Copies/100ml,ddPCR,,San Diego,Carnation Ave.,,Imperial Beach Municipal Beach,32.585679,-117.133049,2026-09-04
5854,IB-068,IB-068,2026-09-04,07:11:00,Enterococcus,=,1858,Copies/100ml,ddPCR,,San Diego,Silver Strand - Guard Shack,,Silver Strand State Beach,32.626401,-117.139424,2026-09-04
5855,IB-079,IB-079,2026-09-04,06:57:00,Enterococcus,=,436,Copies/100ml,ddPCR,,San Diego,Avenida Lunar,,Coronado City Beaches,32.674066,-117.172300,2026-09-04
5856,EH-050,EH-050,2026-09-04,06:43:00,Enterococcus,=,238,Copies/100ml,ddPCR,,San Diego,Coronado Main Lifeguard Tower,,Coronado City Beaches,32.681840,-117.185260,2026-09-04
5857,EH-060,EH-060,2026-09-04,06:23:00,Enterococcus,=,1087,Copies/100ml,ddPCR,,San Diego,Coronado North Beach,,Coronado City Beaches,32.685586,-117.194319,2026-09-04
5472,IB-050,IB-050,2026-09-03,08:20:00,Enterococcus,=,3527,Copies/100ml,ddPCR,,San Diego,End of Seacoast Dr,,Imperial Beach Municipal Beach,32.566577,-117.133205,2026-09-03
5473,EH-010,EH-010,2026-09-03,08:09:00,Enterococcus,=,3125,Copies/100ml,ddPCR,,San Diego,Cortez Ave,,Imperial Beach Municipal Beach,32.572665,-117.133201,2026-09-03
5474,EH-030,EH-030,2026-09-03,08:00:00,Enterococcus,=,5165,Copies/100ml,ddPCR,,San Diego,Imperial Beach Pier,,Imperial Beach Municipal Beach,32.578750,-117.133186,2026-09-03
5475,IB-060,IB-060,2026-09-03,07:49:00,Enterococcus,=,3508,Copies/100ml,ddPCR,,San Diego,Carnation Ave.,,Imperial Beach Municipal Beach,32.585679,-117.133049,2026-09-03
5476,IB-068,IB-068,2026-09-03,07:32:00,Enterococcus,=,1461,Copies/100ml,ddPCR,,San Diego,Silver Strand - Guard Shack,,Silver Strand State Beach,32.626401,-117.139424,2026-09-03
5480,EH-090,EH-090,2026-09-03,07:18:00,Enterococcus,=,700,Copies/100ml,ddPCR,,San Diego,Silver Strand - Bayside,,Silver Strand State Beach,32.636310,-117.141100,2026-09-03
5477,IB-079,IB-079,2026-09-03,07:03:00,Enterococcus,=,883,Copies/100ml,ddPCR,,San Diego,Avenida Lunar,,Coronado City Beaches,32.674066,-117.172300,2026-09-03
5478,EH-050,EH-050,2026-09-03,06:46:00,Enterococcus,=,513,Copies/100ml,ddPCR,,San Diego,Coronado Main Lifeguard Tower,,Coronado City Beaches,32.681840,-117.185260,2026-09-03
5479,EH-060,EH-060,2026-09-03,06:31:00,Enterococcus,=,3327,Copies/100ml,ddPCR,,San Diego,Coronado North Beach,,Coronado City Beaches,32.685586,-117.194319,2026-09-03
5375,EH-120,EH-120,2026-09-02,08:31:00,Enterococcus,=,465,Copies/100ml,ddPCR,,San Diego,Bayside Park (J Street),,San Diego Bay,32.628802,-117.108094,2026-09-02
5376,IB-050,IB-050,2026-09-02,07:58:00,Enterococcus,=,5205,Copies/100ml,ddPCR,,San Diego,End of Seacoast Dr,,Imperial Beach Municipal Beach,32.566577,-117.133205,2026-09-02
5377,EH-010,EH-010,2026-09-02,07:48:00,Enterococcus,=,2731,Copies/100ml,ddPCR,,San Diego,Cortez Ave,,Imperial Beach Municipal Beach,32.572665,-117.133201,2026-09-02
5378,EH-030,EH-030,2026-09-02,07:40:00,Enterococcus,=,3735,Copies/100ml,ddPCR,,San Diego,Imperial Beach Pier,,Imperial Beach Municipal Beach,32.578750,-117.133186,2026-09-02
5379,IB-060,IB-060,2026-09-02,07:30:00,Enterococcus,=,4251,Copies/100ml,ddPCR,,San Diego,Carnation Ave.,,Imperial Beach Municipal Beach,32.585679,-117.133049,2026-09-02
5380,IB-068,IB-068,2026-09-02,07:14:00,Enterococcus,=,1722,Copies/100ml,ddPCR,,San Diego,Silver Strand - Guard Shack,,Silver Strand State Beach,32.626401,-117.139424,2026-09-02
5381,IB-079,IB-079,2026-09-02,06:58:00,Enterococcus,=,2059,Copies/100ml,ddPCR,,San Diego,Avenida Lunar,,Coronado City Beaches,32.674066,-117.172300,2026-09-02
5382,EH-050,EH-050,2026-09-02,06:45:00,Enterococcus,=,1305,Copies/100ml,ddPCR,,San Diego,Coronado Main Lifeguard Tower,,Coronado City Beaches,32.681840,-117.185260,2026-09-02
5383,EH-060,EH-060,2026-09-02,06:30:00,Enterococcus,=,1236,Copies/100ml,ddPCR,,San Diego,Coronado North Beach,,Coronado City Beaches,32.685586,-117.194319,2026-09-02
5357,EH-070,EH-070,2026-09-01,09:03:00,Enterococcus,=,1744,Copies/100ml,ddPCR,,San Diego,Tidelands Park,,San Diego Bay,32.690123,-117.164404,2026-09-01
